Date,Hour,Imports,Exports
22-Jan-14,11,551,"2,776"
22-Jan-14,12,401,"3,095"
22-Jan-14,13,371,"3,010"
22-Jan-14,14,565,"3,151"
22-Jan-14,15,"1,051","3,300"
22-Jan-14,16,371,"2,752"
22-Jan-14,17,151,"2,593"
22-Jan-14,18,121,"2,363"
22-Jan-14,19,226,"1,859"
22-Jan-14,20,151,"2,266"
22-Jan-14,21,111,"1,952"
22-Jan-14,22,737,"2,111"
22-Jan-14,23,975,"2,596"
22-Jan-14,24,"1,282","3,007"
23-Jan-14,1,"1,217","3,382"
23-Jan-14,2,"1,641","3,745"
23-Jan-14,3,"1,448","3,570"
23-Jan-14,4,"1,091","3,492"
23-Jan-14,5,"1,221","3,847"
23-Jan-14,6,"1,425","3,604"
23-Jan-14,7,"1,016","3,632"
23-Jan-14,8,736,"3,772"
23-Jan-14,9,"1,290","2,923"
23-Jan-14,10,"1,120","3,209"
23-Jan-14,11,957,"3,354"
23-Jan-14,12,401,"2,753"
23-Jan-14,13,351,"2,868"
23-Jan-14,14,322,"2,424"
23-Jan-14,15,401,"3,004"
23-Jan-14,16,285,"3,118"
23-Jan-14,17,306,"3,128"
23-Jan-14,18,516,"2,816"
23-Jan-14,19,726,"3,000"
23-Jan-14,20,723,"2,850"
23-Jan-14,21,511,"3,029"
23-Jan-14,22,400,"3,502"
23-Jan-14,23,"1,080","3,459"
23-Jan-14,24,"1,016","2,626"
24-Jan-14,1,"1,396","3,715"
24-Jan-14,2,"1,191","3,901"
24-Jan-14,3,825,"4,032"
24-Jan-14,4,"1,203","4,097"
24-Jan-14,5,171,"3,821"
24-Jan-14,6,107,"3,897"
24-Jan-14,7,200,"4,237"
24-Jan-14,8,1,"3,821"
24-Jan-14,9,157,"3,748"
24-Jan-14,10,973,"4,195"
24-Jan-14,11,650,"3,740"
24-Jan-14,12,390,"3,386"
24-Jan-14,13,391,"3,341"
24-Jan-14,14,351,"3,259"
24-Jan-14,15,490,"3,205"
24-Jan-14,16,826,"3,495"
24-Jan-14,17,166,"3,036"
24-Jan-14,18,177,"3,005"
24-Jan-14,19,151,"3,093"
24-Jan-14,20,176,"3,527"
24-Jan-14,21,175,"3,023"
24-Jan-14,22,280,"2,664"
24-Jan-14,23,980,"2,965"
24-Jan-14,24,660,"3,195"
25-Jan-14,1,"1,257","3,300"
25-Jan-14,2,787,"3,259"
25-Jan-14,3,892,"3,492"
25-Jan-14,4,"1,076","3,378"
25-Jan-14,5,682,"3,365"
25-Jan-14,6,718,"2,693"
25-Jan-14,7,"1,103","3,121"
25-Jan-14,8,"1,035","2,937"
25-Jan-14,9,"1,026","2,982"
25-Jan-14,10,"1,251","3,068"
25-Jan-14,11,"1,666","3,014"
25-Jan-14,12,"2,102","2,954"
25-Jan-14,13,"1,353","2,681"
25-Jan-14,14,"1,629","3,088"
25-Jan-14,15,"2,045","3,228"
25-Jan-14,16,"1,728","3,236"
25-Jan-14,17,"2,082","3,826"
25-Jan-14,18,"1,855","3,540"
25-Jan-14,19,"1,980","3,482"
25-Jan-14,20,"2,147","3,373"
25-Jan-14,21,"2,066","3,580"
25-Jan-14,22,"1,830","3,137"
25-Jan-14,23,"1,780","2,912"
25-Jan-14,24,"1,007","2,461"
